Year,AWE_Index,AWE_Level_Regular,AWE_Level_Total,First_Time_Buyer_Avg_Price,CPIH,Adjusted_First_Time_Buyer_Price
2011,100.8,458,487,106038.4297,93.6,113288.9206196581
2012,99.9,453,481,155611.8518,96.0,162095.67895833336
2013,98.4,447,475,160240.8272,98.2,163178.03177189408
2014,98.1,445,473,175068.1805,99.6,175771.265562249
2015,100.0,454,483,187404.3978,100.0,187404.3978
2016,101.3,460,490,202146.6359,101.0,200145.18405940593
2017,101.0,458,489,211123.1452,103.6,203786.81969111972
2018,101.7,462,492,215574.3488,106.0,203372.02716981134
2019,103.5,470,500,215823.77,107.8,200207.5788497217
2020,104.7,475,504,219964.3343,108.9,201987.45114784205
2021,107.3,487,520,234524.4358,111.6,210147.34390681004
2022,104.8,476,512,254391.8205,120.5,211113.54398340252
2023,105.1,477,512,255702.7617,128.6,198835.7400466563
